date,chip_perf_group,active_product_n,new_product_n,new_product_share,log_active_product_n,adj_n,bridge_n,bridge_ratio
2025-05-18,low,25,1.0,0.04,3.258096538021482,25,0,0.0
2025-05-18,mid,348,13.0,0.03735632183908046,5.855071922202427,348,0,0.0
2025-05-25,high,266,2.0,0.007518796992481203,5.58724865840025,266,0,0.0
2025-05-25,low,23,0.0,0.0,3.1780538303479458,23,0,0.0
2025-05-25,mid,345,6.0,0.017391304347826087,5.846438775057725,345,1,0.002898550724637681
2025-06-01,high,267,4.0,0.0149812734082397,5.5909869805108565,267,0,0.0
2025-06-01,low,21,0.0,0.0,3.091042453358316,21,0,0.0
2025-06-01,mid,373,34.0,0.09115281501340483,5.924255797414532,373,1,0.002680965147453083
2025-06-08,high,266,1.0,0.0037593984962406013,5.58724865840025,266,0,0.0
2025-06-08,low,20,0.0,0.0,3.044522437723423,20,0,0.0
2025-06-08,mid,390,22.0,0.05641025641025641,5.968707559985366,390,1,0.002564102564102564
2025-06-15,high,263,2.0,0.0076045627376425855,5.575949103146316,263,0,0.0
2025-06-15,low,21,1.0,0.047619047619047616,3.091042453358316,21,0,0.0
2025-06-15,mid,388,4.0,0.010309278350515464,5.963579343618446,388,0,0.0
2025-06-22,high,266,3.0,0.011278195488721804,5.58724865840025,266,0,0.0
2025-06-22,low,22,0.0,0.0,3.1354942159291497,22,0,0.0
2025-06-22,mid,411,33.0,0.08029197080291971,6.021023349349527,411,0,0.0
2025-07-20,high,260,9.0,0.03461538461538462,5.564520407322694,260,0,0.0
2025-07-20,low,29,14.0,0.4827586206896552,3.4011973816621555,29,0,0.0
2025-07-20,mid,404,20.0,0.04950495049504951,6.003887067106539,404,0,0.0
2025-07-27,high,264,5.0,0.01893939393939394,5.579729825986222,264,0,0.0
2025-07-27,low,35,4.0,0.11428571428571428,3.58351893845611,35,0,0.0
2025-07-27,mid,406,4.0,0.009852216748768473,6.008813185442595,406,1,0.0024630541871921183
2025-08-03,high,263,5.0,0.019011406844106463,5.575949103146316,263,0,0.0
2025-08-03,low,40,5.0,0.125,3.713572066704308,40,0,0.0
2025-08-03,mid,407,9.0,0.022113022113022112,6.0112671744041615,407,1,0.002457002457002457
2025-08-10,high,265,3.0,0.011320754716981131,5.583496308781699,265,2,0.007547169811320755
2025-08-10,low,43,4.0,0.09302325581395349,3.784189633918261,43,1,0.023255813953488372
2025-08-10,mid,405,1.0,0.0024691358024691358,6.0063531596017325,405,2,0.0049382716049382715
2025-08-17,high,261,3.0,0.011494252873563218,5.568344503761097,261,0,0.0
2025-08-17,low,43,1.0,0.023255813953488372,3.784189633918261,43,1,0.023255813953488372
2025-08-17,mid,398,1.0,0.002512562814070352,5.988961416889864,398,2,0.005025125628140704
2025-08-24,high,262,3.0,0.011450381679389313,5.572154032177765,262,1,0.003816793893129771
2025-08-24,low,45,2.0,0.044444444444444446,3.828641396489095,45,0,0.0
2025-08-24,mid,402,0.0,0.0,5.998936561946683,402,1,0.0024875621890547263
2025-08-31,high,267,7.0,0.026217228464419477,5.5909869805108565,267,3,0.011235955056179775
2025-08-31,low,46,2.0,0.043478260869565216,3.8501476017100584,46,1,0.021739130434782608
2025-08-31,mid,410,9.0,0.02195121951219512,6.018593214496234,410,0,0.0
2025-09-07,high,267,0.0,0.0,5.5909869805108565,267,0,0.0
2025-09-07,low,44,0.0,0.0,3.8066624897703196,44,0,0.0
2025-09-07,mid,415,8.0,0.01927710843373494,6.030685260261263,415,1,0.0024096385542168677
2025-09-14,high,264,4.0,0.015151515151515152,5.579729825986222,264,0,0.0
2025-09-14,low,41,0.0,0.0,3.7376696182833684,41,0,0.0
2025-09-14,mid,413,2.0,0.004842615012106538,6.025865973825314,413,2,0.004842615012106538
2025-09-21,high,265,0.0,0.0,5.583496308781699,265,1,0.0037735849056603774
2025-09-21,low,42,0.0,0.0,3.7612001156935624,42,1,0.023809523809523808
2025-09-21,mid,414,4.0,0.00966183574879227,6.028278520230698,414,2,0.004830917874396135
2025-09-28,high,265,1.0,0.0037735849056603774,5.583496308781699,265,1,0.0037735849056603774
2025-09-28,low,44,1.0,0.022727272727272728,3.8066624897703196,44,1,0.022727272727272728
2025-09-28,mid,412,3.0,0.007281553398058253,6.023447592961033,412,0,0.0
2025-10-05,high,269,0.0,0.0,5.598421958998375,269,0,0.0
2025-10-05,low,44,0.0,0.0,3.8066624897703196,44,2,0.045454545454545456
2025-10-05,mid,410,1.0,0.0024390243902439024,6.018593214496234,410,4,0.00975609756097561
2025-10-12,high,263,0.0,0.0,5.575949103146316,263,0,0.0
2025-10-12,low,45,1.0,0.022222222222222223,3.828641396489095,45,0,0.0
2025-10-12,mid,412,2.0,0.0048543689320388345,6.023447592961033,412,2,0.0048543689320388345
2025-10-19,high,263,0.0,0.0,5.575949103146316,263,1,0.0038022813688212928
2025-10-19,low,44,0.0,0.0,3.8066624897703196,44,0,0.0
2025-10-19,mid,412,0.0,0.0,6.023447592961033,412,0,0.0
2025-10-26,high,265,0.0,0.0,5.583496308781699,265,0,0.0
2025-10-26,low,44,2.0,0.045454545454545456,3.8066624897703196,44,0,0.0
2025-10-26,mid,413,7.0,0.01694915254237288,6.025865973825314,413,1,0.002421307506053269
2025-11-02,high,253,1.0,0.003952569169960474,5.537334267018537,253,0,0.0
2025-11-02,low,41,0.0,0.0,3.7376696182833684,41,1,0.024390243902439025
2025-11-02,mid,412,2.0,0.0048543689320388345,6.023447592961033,412,4,0.009708737864077669
2025-11-09,high,248,2.0,0.008064516129032258,5.517452896464707,248,1,0.004032258064516129
2025-11-09,low,39,1.0,0.02564102564102564,3.6888794541139363,39,0,0.0
2025-11-09,mid,419,3.0,0.007159904534606206,6.040254711277414,419,1,0.002386634844868735
2025-11-16,high,253,6.0,0.023715415019762844,5.537334267018537,253,5,0.019762845849802372
2025-11-16,low,38,0.0,0.0,3.6635616461296463,38,2,0.05263157894736842
2025-11-16,mid,426,9.0,0.02112676056338028,6.056784013228625,426,1,0.002347417840375587
2025-11-23,high,259,2.0,0.007722007722007722,5.560681631015528,259,0,0.0
2025-11-23,low,38,0.0,0.0,3.6635616461296463,38,1,0.02631578947368421
2025-11-23,mid,428,3.0,0.007009345794392523,6.061456918928017,428,0,0.0
2025-11-30,high,259,4.0,0.015444015444015444,5.560681631015528,259,2,0.007722007722007722
2025-11-30,low,40,1.0,0.025,3.713572066704308,40,0,0.0
2025-11-30,mid,423,2.0,0.004728132387706856,6.049733455231958,423,1,0.002364066193853428
2025-12-07,high,260,1.0,0.0038461538461538464,5.564520407322694,260,1,0.0038461538461538464
2025-12-07,low,40,0.0,0.0,3.713572066704308,40,0,0.0
2025-12-07,mid,417,0.0,0.0,6.035481432524756,417,0,0.0
2025-12-14,high,260,1.0,0.0038461538461538464,5.564520407322694,260,1,0.0038461538461538464
2025-12-14,low,39,0.0,0.0,3.6888794541139363,39,0,0.0
2025-12-14,mid,416,2.0,0.004807692307692308,6.0330862217988015,416,2,0.004807692307692308
2025-12-21,high,260,1.0,0.0038461538461538464,5.564520407322694,260,2,0.007692307692307693
2025-12-21,low,36,0.0,0.0,3.6109179126442243,36,0,0.0
2025-12-21,mid,422,3.0,0.0071090047393364926,6.0473721790462776,422,0,0.0
2025-12-28,high,261,0.0,0.0,5.568344503761097,261,0,0.0
2025-12-28,low,38,0.0,0.0,3.6635616461296463,38,0,0.0
2025-12-28,mid,417,1.0,0.002398081534772182,6.035481432524756,417,1,0.002398081534772182
2026-01-04,high,261,0.0,0.0,5.568344503761097,261,0,0.0
2026-01-04,low,38,0.0,0.0,3.6635616461296463,38,0,0.0
2026-01-04,mid,406,0.0,0.0,6.008813185442595,406,2,0.0049261083743842365
2026-01-11,high,261,0.0,0.0,5.568344503761097,261,0,0.0
2026-01-11,low,37,0.0,0.0,3.6375861597263857,37,0,0.0
2026-01-11,mid,409,1.0,0.0024449877750611247,6.016157159698354,409,0,0.0
2026-01-18,high,248,0.0,0.0,5.517452896464707,248,2,0.008064516129032258
2026-01-18,low,37,0.0,0.0,3.6375861597263857,37,1,0.02702702702702703
2026-01-18,mid,401,0.0,0.0,5.996452088619021,401,0,0.0
2026-01-25,high,243,0.0,0.0,5.497168225293202,243,4,0.01646090534979424
2026-01-25,low,38,0.0,0.0,3.6635616461296463,38,1,0.02631578947368421
2026-01-25,mid,399,3.0,0.007518796992481203,5.991464547107982,399,0,0.0
2026-02-01,high,245,0.0,0.0,5.5053315359323625,245,1,0.004081632653061225
2026-02-01,low,43,1.0,0.023255813953488372,3.784189633918261,43,0,0.0
2026-02-01,mid,366,0.0,0.0,5.905361848054571,366,2,0.00546448087431694
2026-02-08,high,242,2.0,0.008264462809917356,5.493061443340548,242,3,0.012396694214876033
2026-02-08,low,44,0.0,0.0,3.8066624897703196,44,0,0.0
2026-02-08,mid,371,2.0,0.005390835579514825,5.918893854273146,371,7,0.018867924528301886
2026-02-15,high,243,1.0,0.00411522633744856,5.497168225293202,243,2,0.00823045267489712
2026-02-15,low,44,1.0,0.022727272727272728,3.8066624897703196,44,0,0.0
2026-02-15,mid,369,2.0,0.005420054200542005,5.91350300563827,369,2,0.005420054200542005
2026-02-22,high,252,0.0,0.0,5.53338948872752,252,1,0.003968253968253968
2026-02-22,low,44,1.0,0.022727272727272728,3.8066624897703196,44,2,0.045454545454545456
2026-02-22,mid,367,1.0,0.0027247956403269754,5.908082938168931,367,1,0.0027247956403269754
